asn,gateways_to_as
20965,"{""1955"":[[""62.40.124.18"",""195.111.96.56""],[""62.40.98.46"",""195.111.100.42""],[""62.40.124.18"",""195.111.100.42""],[""62.40.124.102"",""195.111.100.42""]],""16086"":[[""62.40.98.46"",""85.23.168.1""],[""62.40.98.128"",""85.23.168.1""]],""2547"":[[""62.40.124.102"",""152.66.0.125""],[""62.40.98.46"",""152.66.0.79""],[""62.40.98.46"",""152.66.127.81""]]}"
1955,"{""16086"":[[""195.111.100.42"",""85.23.168.1""]],""174"":[[""195.111.100.42"",""149.11.10.10""]],""2547"":[[""195.111.100.42"",""152.66.0.79""],[""195.111.100.42"",""152.66.0.125""],[""195.111.100.42"",""152.66.0.73""]]}"
2547,"{""1955"":[[""152.66.0.125"",""195.111.100.42""]],""16086"":[[""152.66.0.73"",""85.23.168.1""]]}"
73,{}
101,"{""11537"":[[""209.124.181.246"",""64.57.28.54""],[""209.124.181.132"",""64.57.28.54""],[""207.231.241.131"",""198.71.45.20""]]}"
11537,"{""20965"":[[""198.71.45.57"",""62.40.125.17""],[""198.71.45.229"",""62.40.125.17""],[""198.71.45.57"",""62.40.98.81""],[""198.71.45.7"",""62.40.125.17""],[""198.71.45.5"",""62.40.125.17""],[""198.71.45.57"",""62.40.98.46""],[""198.71.45.7"",""62.40.124.44""],[""198.71.45.5"",""62.40.124.44""],[""198.71.46.185"",""62.40.125.17""],[""198.71.45.237"",""62.40.98.153""],[""198.71.45.57"",""62.40.124.44""],[""198.71.46.185"",""62.40.124.44""]]}"
2852,"{""20965"":[[""195.113.161.65"",""62.40.124.29""],[""195.113.235.89"",""62.40.124.29""]]}"
4,"{""2153"":[[""198.32.16.81"",""137.164.27.241""]]}"
2153,"{""11537"":[[""137.164.26.201"",""198.71.45.20""]]}"
7660,"{""22388"":[[""203.181.248.134"",""192.203.116.145""]]}"
22388,{}
18176,"{""3786"":[[""210.121.153.1"",""210.124.236.1""],[""210.121.153.33"",""115.89.206.241""],[""210.121.153.1"",""115.89.206.241""]]}"
