from,to
20965,1955
20965,16086
20965,2547
1955,16086
1955,174
1955,2547
2547,1955
2547,16086
101,11537
11537,20965
2852,20965
4,2153
2153,11537
7660,22388
18176,3786
3786,3356
3356,1955
3356,174
5723,10886
10886,11537
10886,20965
2637,11537
2637,20965
197451,2852
40498,11537
40498,2153
3851,11537
53257,2722
2722,2637
3661,3662
3662,9381
9381,1273
1273,174
174,1955
174,1273
174,2547
174,20965
7896,11317
11317,11537
1916,27750
27750,20965
7377,2153
12816,680
680,20965
4557,14085
14085,11537
159,600
600,6939
600,3112
3112,20965
19782,11537
559,20965
4538,23911
23911,20965
23910,23911
19956,7018
7018,3356
12148,2722
8973,1653
1653,2603
2603,16086
2603,20965
20162,6922
6922,3356
393249,271
271,6509
6509,20965
12464,1887
1887,8501
8501,20965
1706,209
1706,11537
10578,11537
10578,20965
36850,81
81,11537
111,3356
11105,271
59,11537
59,20965
6762,174
10881,1916
25826,26677
26677,6509
27,10886
1312,174
52,2153
3450,2637
3512,2637
36375,11537
2506,2907
2907,20965
56132,7575
7575,101
38305,38022
38022,7575
32666,600
1968,10578
681,38022
10466,11537
10466,20965
17956,2907
4130,5050
5050,20965
13476,101
18515,14085
23905,38022
10326,10578
5078,11537
3778,7922
7922,3356
6356,11096
11096,11537
6939,1955
30,7018
14041,11537
4134,174
8643,5408
5408,20965
224,2603
786,20965
1741,2603
1213,20965
2843,1653
199578,680
8890,8501
766,20965
3323,5408
553,680
553,20965
137,20965
1930,20965
8508,8501
88,10466
1835,2603
2200,20965
2701,2495
2495,11537
104,14041
1103,20965
13041,766
