erroneous,succeed,online,offline,ts
1,3,4,1,1.448408980166e+09
1,3,4,1,1.448409119462e+09
202,208,410,620,1.448431066229725e+09
199,207,406,624,1.448447382847968e+09
195,213,408,622,1.448482115540807e+09
195,217,412,618,1.448485422344426e+09
195,216,411,619,1.448489015208072e+09
193,216,409,621,1.448492606813795e+09
193,217,410,620,1.448496182526697e+09
195,216,411,619,1.448499852305631e+09
195,216,411,619,1.448503428609156e+09
197,212,409,621,1.448507012682371e+09
195,214,409,621,1.448510613376312e+09
196,215,411,619,1.448514254110489e+09
194,216,410,620,1.448517833930867e+09
195,214,409,621,1.448521389242083e+09
199,212,411,619,1.448525012238419e+09
200,212,412,618,1.448528607837518e+09
201,211,412,618,1.4485322632362e+09
200,209,409,621,1.448535852459961e+09
198,212,410,620,1.448539483240498e+09
197,212,409,621,1.448543053297525e+09
194,203,397,641,1.448546656810844e+09
199,210,409,621,1.448550221399278e+09
198,212,410,620,1.448553830540728e+09
197,212,409,621,1.448557416753072e+09
196,213,409,621,1.448560998945532e+09
195,210,405,625,1.448564671139118e+09
196,214,410,620,1.448568182719877e+09
197,212,409,621,1.448571839342225e+09
198,211,409,621,1.448575434539467e+09
198,211,409,621,1.448579016334886e+09
197,212,409,621,1.448582587338258e+09
198,211,409,621,1.448586258340758e+09
199,212,411,619,1.448589786081957e+09
198,212,410,620,1.448593466241539e+09
200,208,408,622,1.448597022128511e+09
200,210,410,620,1.448600589503212e+09
199,212,411,619,1.448604225561995e+09
197,212,409,621,1.448607817940133e+09
198,212,410,620,1.448611406035323e+09
196,212,408,622,1.448614988951273e+09
200,210,410,620,1.448618582792449e+09
201,209,410,620,1.448622249045341e+09
196,207,403,627,1.448625831741246e+09
196,207,403,627,1.448629384730287e+09
197,204,401,629,1.448632987573671e+09
196,206,402,628,1.448636698534125e+09
192,197,389,649,1.448640212630115e+09
196,204,400,630,1.448643809336576e+09
196,206,402,628,1.448647387542122e+09
195,205,400,630,1.448650983637252e+09
194,206,400,630,1.448654584531451e+09
196,205,401,629,1.448658184391972e+09
196,207,403,627,1.448661840345038e+09
196,205,401,629,1.448665428370137e+09
197,202,399,631,1.448669061641337e+09
195,206,401,629,1.448672615042829e+09
192,199,391,647,1.448676211541017e+09
195,204,399,631,1.448679873136283e+09
194,206,400,630,1.448683438048592e+09
196,205,401,629,1.448687046657139e+09
195,206,401,629,1.448690626335285e+09
198,204,402,628,1.448694214443674e+09
195,206,401,629,1.448697784842081e+09
192,198,390,648,1.448701445138551e+09
193,206,399,631,1.448705007240284e+09
194,207,401,629,1.448708589948552e+09
198,205,403,627,1.448712235002176e+09
196,204,400,630,1.448715789757606e+09
195,206,401,629,1.448719430260102e+09
199,209,408,622,1.448723017313648e+09
200,208,408,622,1.448726610138336e+09
201,206,407,623,1.448730242437797e+09
198,208,406,624,1.44873382284141e+09
197,208,405,625,1.448737387843541e+09
200,210,410,620,1.448741061551457e+09
199,209,408,622,1.448744636340389e+09
197,209,406,624,1.448748206235856e+09
197,210,407,623,1.448751793590965e+09
199,209,408,622,1.448755430754727e+09
198,210,408,622,1.448759018736065e+09
197,209,406,624,1.448762605338592e+09
200,207,407,623,1.448766229183289e+09
199,205,404,626,1.448769837328914e+09
197,208,405,625,1.448773430847756e+09
197,209,406,624,1.448777004571253e+09
199,209,408,622,1.448780639336422e+09
197,209,406,624,1.448784221835414e+09
198,206,404,626,1.448787798381979e+09
198,208,406,624,1.448791439340309e+09
198,207,405,625,1.448795020536074e+09
199,207,406,624,1.448798594340709e+09
198,209,407,623,1.44880224144128e+09
199,209,408,622,1.448805829443417e+09
199,207,406,624,1.44880942162892e+09
198,209,407,623,1.448812999864968e+09
193,201,394,644,1.448816663567482e+09
197,209,406,624,1.44882032552347e+09
198,208,406,624,1.448823790852756e+09
