date,nodes,edges
2015.03.06_0,0,0
2015.03.07_1,0,0
2015.03.08_1,0,0
2015.03.08_2,0,0
2015.03.09_1,0,0
2015.03.09_2,0,0
2015.03.09_3,0,0
2015.03.10_2,0,0
2015.03.10_3,0,0
2015.03.13_08,1529,1845
2015.03.13_09,1645,2194
2015.03.13_16,1503,1806
2015.03.13_17,1525,1859
2015.03.13_18,1555,1904
2015.03.13_19,1565,1920
2015.03.13_20,1561,1897
2015.03.13_21,1561,1906
2015.03.13_22,1569,1911
2015.03.13_23,1545,1871
2015.03.14_17,1531,1849
2015.03.14_18,1550,1890
2015.03.14_19,1541,1852
2015.03.14_20,1547,1869
2015.03.14_21,1553,1867
2015.03.14_22,1564,1894
2015.03.14_23,1552,1858
2015.03.15_00,1535,1839
2015.03.15_01,1518,1816
2015.03.15_02,1535,1852
2015.03.15_03,1533,1843
2015.03.15_04,1527,1828
2015.03.15_05,1551,1881
2015.03.15_06,1556,1889
2015.03.15_07,1546,1872
2015.03.15_08,1576,1915
2015.03.15_09,1553,1896
2015.03.15_11,1499,1802
2015.03.15_12,1523,1837
2015.03.15_13,1527,1854
2015.03.15_14,1518,1842
2015.03.15_15,1514,1809
2015.03.15_16,1541,1881
2015.03.15_17,1532,1850
2015.03.15_18,1547,1913
2015.03.15_19,1544,1881
2015.03.15_20,1540,1873
2015.03.15_22,1542,1867
2015.03.15_23,1552,1882
2015.03.16_00,1545,1855
2015.03.16_01,1546,1869
2015.03.16_02,1537,1844
2015.03.16_03,1534,1869
2015.03.16_04,1539,1865
2015.03.16_05,1541,1839
2015.03.16_06,1576,1938
2015.03.16_07,1583,1942
2015.03.16_08,1589,1965
2015.03.16_10,1562,1894
2015.03.16_11,1548,1876
2015.03.16_12,1551,1890
2015.03.16_13,1558,1902
2015.03.16_14,1555,1891
2015.03.16_15,1554,1888
2015.03.16_16,1555,1889
2015.03.16_17,1553,1892
2015.03.16_18,1549,1905
2015.03.16_19,1574,1896
2015.03.16_20,1575,1917
2015.03.16_21,1569,1895
2015.03.16_22,1590,1905
2015.03.16_23,1612,1959
2015.03.17_00,1589,1930
2015.03.17_01,1593,1929
2015.03.17_02,1597,1965
2015.03.17_03,1581,1914
2015.03.17_04,1586,1931
2015.03.17_05,1598,1937
2015.03.17_06,1612,1945
2015.03.17_08,1589,1911
2015.03.17_09,1566,1867
2015.03.17_10,1571,1893
2015.03.17_11,1578,1905
2015.03.17_12,1568,1888
2015.03.17_13,1549,1846
2015.03.17_14,1558,1869
2015.03.17_15,1565,1878
2015.03.17_16,1548,1856
2015.03.17_17,1565,1890
2015.03.17_18,1546,1840
2015.03.17_19,1552,1865
2015.03.17_20,1561,1866
2015.03.17_21,1572,1885
2015.03.17_22,1574,1866
2015.03.17_23,1572,1864
2015.03.18_00,1588,1909
2015.03.18_01,1560,1860
2015.03.18_02,1568,1876
2015.03.18_03,1560,1863
2015.03.18_04,1532,1808
2015.03.18_05,1568,1872
2015.03.18_06,1560,1841
2015.03.18_07,1554,1836
2015.03.18_08,1556,1842
2015.03.18_09,1568,1860
2015.03.18_10,1546,1845
2015.03.18_11,1564,1868
2015.03.18_12,1556,1881
2015.03.18_13,1539,1832
2015.03.18_14,1542,1838
2015.03.18_15,1539,1825
2015.03.18_16,1566,1883
2015.03.18_17,1574,1904
2015.03.18_18,1546,1839
2015.03.18_19,1540,1814
2015.03.18_20,1551,1838
2015.03.18_21,1563,1855
2015.03.18_22,1535,1808
2015.03.18_23,1558,1832
2015.03.19_05,1555,1824
2015.03.19_06,1563,1857
2015.03.19_07,1539,1798
2015.03.19_09,1549,1837
2015.03.19_10,1519,1792
2015.03.19_11,1555,1861
2015.03.19_12,1555,1869
2015.03.19_13,1533,1829
2015.03.19_14,1538,1832
2015.03.19_15,1523,1804
2015.03.19_16,1543,1836
2015.03.19_17,1521,1820
2015.03.19_18,1553,1871
2015.03.19_19,1533,1819
2015.03.19_20,1540,1857
2015.03.19_21,1545,1854
2015.03.19_22,1530,1823
2015.03.19_23,1548,1833
2015.03.20_00,1538,1821
2015.03.20_01,1549,1846
2015.03.20_02,1530,1798
2015.03.20_03,1532,1809
2015.03.20_04,1536,1805
2015.03.20_05,1521,1786
2015.03.20_06,1493,1740
2015.03.20_07,1524,1795
2015.03.20_08,1537,1802
2015.03.20_09,1510,1794
2015.03.20_10,1525,1814
2015.03.20_11,1508,1778
2015.03.20_12,1514,1786
2015.03.20_13,1512,1792
2015.03.20_14,1512,1780
2015.03.20_15,1529,1823
2015.03.20_16,1530,1824
2015.03.20_17,1511,1787
2015.03.20_18,1520,1794
2015.03.20_19,1513,1789
2015.03.20_20,1509,1796
2015.03.20_21,1513,1785
2015.03.20_22,1532,1810
2015.03.20_23,1511,1783
2015.03.21_00,1533,1822
2015.03.21_01,1539,1834
2015.03.21_02,1529,1821
2015.03.21_03,1525,1794
2015.03.21_04,1530,1795
2015.03.21_05,1545,1842
2015.03.21_06,1530,1816
2015.03.21_07,1524,1809
2015.03.21_08,1539,1825
2015.03.21_09,1523,1830
2015.03.21_10,1506,1800
2015.03.21_11,1500,1784
2015.03.21_12,1524,1816
2015.03.21_13,1510,1783
2015.03.21_14,1495,1780
2015.03.21_15,1519,1801
2015.03.21_16,1525,1814
2015.03.21_17,1518,1812
2015.03.21_18,1528,1832
2015.03.21_19,1511,1794
2015.03.21_20,1534,1832
2015.03.21_21,1525,1823
2015.03.21_22,1540,1840
2015.03.21_23,1513,1782
2015.03.22_00,1538,1826
2015.03.22_01,1520,1787
2015.03.22_02,1536,1821
2015.03.22_03,1522,1784
2015.03.22_04,1539,1801
2015.03.22_05,1525,1791
2015.03.22_06,1530,1806
2015.03.22_07,1508,1762
2015.03.22_08,1532,1815
2015.03.22_09,1551,1829
2015.03.22_16,1511,1788
2015.03.22_17,1522,1811
2015.03.22_18,1518,1793
2015.03.22_19,1526,1806
2015.03.22_20,1510,1797
2015.03.22_21,1515,1787
2015.03.22_22,1527,1808
2015.03.22_23,1531,1809
2015.03.23_00,1537,1811
2015.03.23_01,1514,1801
2015.03.23_02,1514,1789
2015.03.23_03,1516,1801
2015.03.23_04,1499,1784
2015.03.23_05,1492,1756
2015.03.23_06,1537,1824
2015.03.23_07,1517,1800
2015.03.23_08,1502,1762
2015.03.23_09,1540,1820
2015.03.23_10,1520,1814
2015.03.23_11,1518,1812
2015.03.23_12,1528,1813
