ip,port,ttl
156.17.10.51,80,240
156.17.10.51,80,240
156.17.10.51,80,240
156.17.10.51,22,236
128.112.139.19,80,54
128.112.139.19,80,56
195.113.161.13,80,242
195.113.161.13,80,56
128.112.139.19,80,242
195.113.161.13,80,242
195.113.161.13,22,50
128.112.139.19,22,239
131.246.19.202,80,239
131.246.19.202,80,238
193.146.210.245,80,239
131.246.19.202,80,239
131.246.19.202,22,238
193.146.210.245,80,239
193.157.115.250,80,239
193.157.115.250,80,238
193.146.210.244,80,239
193.157.115.250,80,238
193.146.210.244,80,238
193.146.210.245,80,239
193.157.115.250,22,237
130.206.158.140,80,238
193.146.210.245,22,52
130.206.158.140,80,238
193.146.210.244,80,238
193.146.210.244,22,238
193.166.167.4,80,237
130.206.158.140,80,238
193.166.167.4,80,237
130.206.158.140,22,237
193.166.167.4,80,238
193.166.167.4,22,235
130.79.48.57,80,235
130.79.48.57,80,239
138.246.253.1,80,239
138.246.253.1,80,53
130.79.48.57,80,239
138.246.253.1,80,235
130.79.48.57,22,239
138.246.253.1,22,54
193.226.19.30,80,52
193.226.19.30,80,239
193.226.19.30,80,54
193.226.19.30,22,242
195.113.161.14,80,242
195.113.161.14,80,48
195.113.161.14,80,242
195.113.161.14,22,48
194.29.178.14,80,241
194.29.178.14,80,241
194.29.178.14,80,241
194.29.178.14,22,47
128.223.8.112,80,52
128.223.8.112,80,238
216.48.80.12,80,238
128.223.8.112,80,238
216.48.80.12,80,239
134.197.113.3,80,238
216.48.80.12,80,238
128.223.8.112,22,239
134.197.113.3,80,237
216.48.80.12,22,237
128.8.126.111,80,52
128.8.126.111,80,239
134.197.113.3,80,235
165.230.49.118,80,243
195.113.161.84,80,243
195.113.161.84,80,242
192.33.90.67,80,237
128.8.126.111,80,46
165.230.49.118,80,242
192.33.90.67,80,239
193.226.19.31,80,243
195.113.161.84,80,243
195.113.161.84,22,242
192.33.90.67,80,239
134.197.113.3,22,239
193.226.19.31,80,237
128.8.126.111,22,242
192.33.90.67,22,235
165.230.49.118,80,238
128.223.8.113,80,239
193.226.19.31,80,239
193.226.19.31,22,235
165.230.49.118,22,235
130.194.252.8,80,238
