\s+(\d+\.\d+\.\d+\.\d+)\.\d+ \> 139.59.143.240\.(80): F.*\n.*ttl (\d+),
$1:$2 ttl $3\n

128.10.18.52:80 ttl 234
128.10.18.53:80 ttl 238
128.112.139.19:80 ttl 242
128.112.139.19:80 ttl 54
128.208.4.197:80 ttl 231
128.208.4.198:80 ttl 234
128.208.4.99:80 ttl 229
128.2.211.115:80 ttl 228
128.223.8.111:80 ttl 234
128.223.8.111:80 ttl 50
128.223.8.112:80 ttl 238
128.223.8.112:80 ttl 52
128.223.8.113:80 ttl 237
128.223.8.113:80 ttl 47
128.223.8.114:80 ttl 234
128.42.142.45:80 ttl 224
128.8.126.111:80 ttl 239
128.8.126.111:80 ttl 52
129.10.120.193:80 ttl 233
129.10.120.193:80 ttl 44
129.22.150.78:80 ttl 238
129.22.150.78:80 ttl 50
129.32.84.160:80 ttl 234
129.32.84.160:80 ttl 237
129.63.159.101:80 ttl 226
129.63.159.101:80 ttl 236
129.63.159.102:80 ttl 236
129.63.159.102:80 ttl 47
129.63.159.102:80 ttl 49
129.97.74.12:80 ttl 234
129.97.74.12:80 ttl 236
129.97.74.14:80 ttl 233
129.97.74.14:80 ttl 239
129.97.74.14:80 ttl 52
130.192.157.138:80 ttl 233
130.194.252.8:80 ttl 237
130.194.252.8:80 ttl 238
130.194.252.9:80 ttl 237
130.194.252.9:80 ttl 46
130.195.4.68:80 ttl 236
130.195.4.68:80 ttl 237
130.195.4.68:80 ttl 238
130.195.4.69:80 ttl 234
130.206.158.140:80 ttl 238
130.253.21.123:80 ttl 234
130.253.21.123:80 ttl 238
130.79.48.57:80 ttl 235
130.79.48.57:80 ttl 239
131.179.150.70:80 ttl 234
131.179.150.70:80 ttl 239
131.179.150.72:80 ttl 232
131.179.150.72:80 ttl 233
131.179.150.72:80 ttl 234
131.246.19.202:80 ttl 238
131.246.19.202:80 ttl 239
134.117.226.180:80 ttl 233
134.117.226.180:80 ttl 48
134.117.226.180:80 ttl 50
134.197.113.3:80 ttl 235
134.197.113.3:80 ttl 237
134.197.113.3:80 ttl 238
137.132.80.110:80 ttl 225
137.132.80.110:80 ttl 238
137.132.80.110:80 ttl 239
138.246.253.1:80 ttl 235
138.246.253.1:80 ttl 239
138.246.253.1:80 ttl 53
139.78.141.243:80 ttl 238
139.78.141.243:80 ttl 240
141.212.113.178:80 ttl 232
141.212.113.178:80 ttl 236
142.103.2.2:80 ttl 234
142.103.2.2:80 ttl 235
142.103.2.2:80 ttl 236
156.17.10.51:80 ttl 240
156.56.250.227:80 ttl 40
156.56.250.227:80 ttl 44
156.56.250.227:80 ttl 48
162.105.205.21:80 ttl 224
162.105.205.21:80 ttl 234
162.105.205.22:80 ttl 235
162.105.205.22:80 ttl 238
165.230.49.114:80 ttl 235
165.230.49.114:80 ttl 48
165.230.49.114:80 ttl 49
165.230.49.118:80 ttl 238
165.230.49.118:80 ttl 242
165.230.49.118:80 ttl 243
165.242.90.128:80 ttl 235
165.242.90.128:80 ttl 237
170.140.119.69:80 ttl 235
170.140.119.69:80 ttl 238
170.140.119.69:80 ttl 240
170.140.119.70:80 ttl 231
170.140.119.70:80 ttl 234
170.140.119.70:80 ttl 239
192.107.171.145:80 ttl 234
192.107.171.145:80 ttl 236
192.107.171.145:80 ttl 238
192.107.171.147:80 ttl 233
192.107.171.147:80 ttl 234
192.107.171.147:80 ttl 236
192.33.90.67:80 ttl 237
192.33.90.67:80 ttl 239
192.33.90.68:80 ttl 242
193.146.210.244:80 ttl 238
193.146.210.244:80 ttl 239
193.146.210.245:80 ttl 239
193.157.115.250:80 ttl 238
193.157.115.250:80 ttl 239
193.166.167.4:80 ttl 237
193.166.167.4:80 ttl 238
193.166.167.5:80 ttl 237
193.226.19.30:80 ttl 239
193.226.19.30:80 ttl 52
193.226.19.30:80 ttl 54
193.226.19.31:80 ttl 237
193.226.19.31:80 ttl 239
193.226.19.31:80 ttl 243
194.29.178.14:80 ttl 241
195.113.161.13:80 ttl 242
195.113.161.13:80 ttl 56
195.113.161.14:80 ttl 242
195.113.161.14:80 ttl 48
195.113.161.82:80 ttl 239
195.113.161.82:80 ttl 243
195.113.161.83:80 ttl 243
195.113.161.84:80 ttl 242
195.113.161.84:80 ttl 243
198.133.224.147:80 ttl 233
198.133.224.147:80 ttl 240
200.0.206.169:80 ttl 236
200.0.206.169:80 ttl 237
200.0.206.169:80 ttl 239
200.17.202.195:80 ttl 235
200.17.202.195:80 ttl 237
200.19.159.34:80 ttl 231
200.19.159.34:80 ttl 233
200.19.159.34:80 ttl 238
200.19.159.35:80 ttl 234
200.19.159.35:80 ttl 235
200.19.159.35:80 ttl 236
202.112.28.98:80 ttl 238
202.112.28.98:80 ttl 240
206.117.37.7:80 ttl 238
206.117.37.7:80 ttl 239
206.117.37.7:80 ttl 53
216.48.80.12:80 ttl 238
216.48.80.12:80 ttl 239
216.48.80.14:80 ttl 237
75.130.96.13:80 ttl 227
75.130.96.13:80 ttl 238
